minecraft:missingno	x=66	y=0	w=16	h=16
minecraft:trims/entity/humanoid/bolt_amethyst	x=0	y=0	w=64	h=32
minecraft:trims/entity/humanoid/bolt_copper	x=0	y=64	w=64	h=32
minecraft:trims/entity/humanoid/bolt_copper_darker	x=128	y=0	w=64	h=32
minecraft:trims/entity/humanoid/bolt_diamond	x=128	y=34	w=64	h=32
minecraft:trims/entity/humanoid/bolt_diamond_darker	x=128	y=68	w=64	h=32
minecraft:trims/entity/humanoid/bolt_emerald	x=0	y=128	w=64	h=32
minecraft:trims/entity/humanoid/bolt_gold	x=66	y=128	w=64	h=32
minecraft:trims/entity/humanoid/bolt_gold_darker	x=132	y=128	w=64	h=32
minecraft:trims/entity/humanoid/bolt_iron	x=0	y=162	w=64	h=32
minecraft:trims/entity/humanoid/bolt_iron_darker	x=66	y=162	w=64	h=32
minecraft:trims/entity/humanoid/bolt_lapis	x=132	y=162	w=64	h=32
minecraft:trims/entity/humanoid/bolt_netherite	x=0	y=196	w=64	h=32
minecraft:trims/entity/humanoid/bolt_netherite_darker	x=66	y=196	w=64	h=32
minecraft:trims/entity/humanoid/bolt_quartz	x=132	y=196	w=64	h=32
minecraft:trims/entity/humanoid/bolt_redstone	x=256	y=0	w=64	h=32
minecraft:trims/entity/humanoid/bolt_resin	x=256	y=34	w=64	h=32
minecraft:trims/entity/humanoid/coast_amethyst	x=256	y=68	w=64	h=32
minecraft:trims/entity/humanoid/coast_copper	x=256	y=102	w=64	h=32
minecraft:trims/entity/humanoid/coast_copper_darker	x=256	y=136	w=64	h=32
minecraft:trims/entity/humanoid/coast_diamond	x=256	y=170	w=64	h=32
minecraft:trims/entity/humanoid/coast_diamond_darker	x=256	y=204	w=64	h=32
minecraft:trims/entity/humanoid/coast_emerald	x=322	y=0	w=64	h=32
minecraft:trims/entity/humanoid/coast_gold	x=322	y=34	w=64	h=32
minecraft:trims/entity/humanoid/coast_gold_darker	x=322	y=68	w=64	h=32
minecraft:trims/entity/humanoid/coast_iron	x=322	y=102	w=64	h=32
minecraft:trims/entity/humanoid/coast_iron_darker	x=322	y=136	w=64	h=32
minecraft:trims/entity/humanoid/coast_lapis	x=322	y=170	w=64	h=32
minecraft:trims/entity/humanoid/coast_netherite	x=322	y=204	w=64	h=32
minecraft:trims/entity/humanoid/coast_netherite_darker	x=388	y=0	w=64	h=32
minecraft:trims/entity/humanoid/coast_quartz	x=388	y=34	w=64	h=32
minecraft:trims/entity/humanoid/coast_redstone	x=388	y=68	w=64	h=32
minecraft:trims/entity/humanoid/coast_resin	x=388	y=102	w=64	h=32
minecraft:trims/entity/humanoid/dune_amethyst	x=388	y=136	w=64	h=32
minecraft:trims/entity/humanoid/dune_copper	x=388	y=170	w=64	h=32
minecraft:trims/entity/humanoid/dune_copper_darker	x=388	y=204	w=64	h=32
minecraft:trims/entity/humanoid/dune_diamond	x=0	y=256	w=64	h=32
minecraft:trims/entity/humanoid/dune_diamond_darker	x=66	y=256	w=64	h=32
minecraft:trims/entity/humanoid/dune_emerald	x=132	y=256	w=64	h=32
minecraft:trims/entity/humanoid/dune_gold	x=198	y=256	w=64	h=32
minecraft:trims/entity/humanoid/dune_gold_darker	x=264	y=256	w=64	h=32
minecraft:trims/entity/humanoid/dune_iron	x=330	y=256	w=64	h=32
minecraft:trims/entity/humanoid/dune_iron_darker	x=396	y=256	w=64	h=32
minecraft:trims/entity/humanoid/dune_lapis	x=0	y=290	w=64	h=32
minecraft:trims/entity/humanoid/dune_netherite	x=66	y=290	w=64	h=32
minecraft:trims/entity/humanoid/dune_netherite_darker	x=132	y=290	w=64	h=32
minecraft:trims/entity/humanoid/dune_quartz	x=198	y=290	w=64	h=32
minecraft:trims/entity/humanoid/dune_redstone	x=264	y=290	w=64	h=32
minecraft:trims/entity/humanoid/dune_resin	x=330	y=290	w=64	h=32
minecraft:trims/entity/humanoid/eye_amethyst	x=396	y=290	w=64	h=32
minecraft:trims/entity/humanoid/eye_copper	x=0	y=324	w=64	h=32
minecraft:trims/entity/humanoid/eye_copper_darker	x=66	y=324	w=64	h=32
minecraft:trims/entity/humanoid/eye_diamond	x=132	y=324	w=64	h=32
minecraft:trims/entity/humanoid/eye_diamond_darker	x=198	y=324	w=64	h=32
minecraft:trims/entity/humanoid/eye_emerald	x=264	y=324	w=64	h=32
minecraft:trims/entity/humanoid/eye_gold	x=330	y=324	w=64	h=32
minecraft:trims/entity/humanoid/eye_gold_darker	x=396	y=324	w=64	h=32
minecraft:trims/entity/humanoid/eye_iron	x=0	y=358	w=64	h=32
minecraft:trims/entity/humanoid/eye_iron_darker	x=66	y=358	w=64	h=32
minecraft:trims/entity/humanoid/eye_lapis	x=132	y=358	w=64	h=32
minecraft:trims/entity/humanoid/eye_netherite	x=198	y=358	w=64	h=32
minecraft:trims/entity/humanoid/eye_netherite_darker	x=264	y=358	w=64	h=32
minecraft:trims/entity/humanoid/eye_quartz	x=330	y=358	w=64	h=32
minecraft:trims/entity/humanoid/eye_redstone	x=396	y=358	w=64	h=32
minecraft:trims/entity/humanoid/eye_resin	x=0	y=392	w=64	h=32
minecraft:trims/entity/humanoid/flow_amethyst	x=66	y=392	w=64	h=32
minecraft:trims/entity/humanoid/flow_copper	x=132	y=392	w=64	h=32
minecraft:trims/entity/humanoid/flow_copper_darker	x=198	y=392	w=64	h=32
minecraft:trims/entity/humanoid/flow_diamond	x=264	y=392	w=64	h=32
minecraft:trims/entity/humanoid/flow_diamond_darker	x=330	y=392	w=64	h=32
minecraft:trims/entity/humanoid/flow_emerald	x=396	y=392	w=64	h=32
minecraft:trims/entity/humanoid/flow_gold	x=0	y=426	w=64	h=32
minecraft:trims/entity/humanoid/flow_gold_darker	x=66	y=426	w=64	h=32
minecraft:trims/entity/humanoid/flow_iron	x=132	y=426	w=64	h=32
minecraft:trims/entity/humanoid/flow_iron_darker	x=198	y=426	w=64	h=32
minecraft:trims/entity/humanoid/flow_lapis	x=264	y=426	w=64	h=32
minecraft:trims/entity/humanoid/flow_netherite	x=330	y=426	w=64	h=32
minecraft:trims/entity/humanoid/flow_netherite_darker	x=396	y=426	w=64	h=32
minecraft:trims/entity/humanoid/flow_quartz	x=0	y=460	w=64	h=32
minecraft:trims/entity/humanoid/flow_redstone	x=66	y=460	w=64	h=32
minecraft:trims/entity/humanoid/flow_resin	x=132	y=460	w=64	h=32
minecraft:trims/entity/humanoid/host_amethyst	x=198	y=460	w=64	h=32
minecraft:trims/entity/humanoid/host_copper	x=264	y=460	w=64	h=32
minecraft:trims/entity/humanoid/host_copper_darker	x=330	y=460	w=64	h=32
minecraft:trims/entity/humanoid/host_diamond	x=396	y=460	w=64	h=32
minecraft:trims/entity/humanoid/host_diamond_darker	x=512	y=0	w=64	h=32
minecraft:trims/entity/humanoid/host_emerald	x=512	y=34	w=64	h=32
minecraft:trims/entity/humanoid/host_gold	x=512	y=68	w=64	h=32
minecraft:trims/entity/humanoid/host_gold_darker	x=512	y=102	w=64	h=32
minecraft:trims/entity/humanoid/host_iron	x=512	y=136	w=64	h=32
minecraft:trims/entity/humanoid/host_iron_darker	x=512	y=170	w=64	h=32
minecraft:trims/entity/humanoid/host_lapis	x=512	y=204	w=64	h=32
minecraft:trims/entity/humanoid/host_netherite	x=512	y=238	w=64	h=32
minecraft:trims/entity/humanoid/host_netherite_darker	x=512	y=272	w=64	h=32
minecraft:trims/entity/humanoid/host_quartz	x=512	y=306	w=64	h=32
minecraft:trims/entity/humanoid/host_redstone	x=512	y=340	w=64	h=32
minecraft:trims/entity/humanoid/host_resin	x=512	y=374	w=64	h=32
minecraft:trims/entity/humanoid/raiser_amethyst	x=512	y=408	w=64	h=32
minecraft:trims/entity/humanoid/raiser_copper	x=512	y=442	w=64	h=32
minecraft:trims/entity/humanoid/raiser_copper_darker	x=512	y=476	w=64	h=32
minecraft:trims/entity/humanoid/raiser_diamond	x=578	y=0	w=64	h=32
minecraft:trims/entity/humanoid/raiser_diamond_darker	x=578	y=34	w=64	h=32
minecraft:trims/entity/humanoid/raiser_emerald	x=578	y=68	w=64	h=32
minecraft:trims/entity/humanoid/raiser_gold	x=578	y=102	w=64	h=32
minecraft:trims/entity/humanoid/raiser_gold_darker	x=578	y=136	w=64	h=32
minecraft:trims/entity/humanoid/raiser_iron	x=578	y=170	w=64	h=32
minecraft:trims/entity/humanoid/raiser_iron_darker	x=578	y=204	w=64	h=32
minecraft:trims/entity/humanoid/raiser_lapis	x=578	y=238	w=64	h=32
minecraft:trims/entity/humanoid/raiser_netherite	x=578	y=272	w=64	h=32
minecraft:trims/entity/humanoid/raiser_netherite_darker	x=578	y=306	w=64	h=32
minecraft:trims/entity/humanoid/raiser_quartz	x=578	y=340	w=64	h=32
minecraft:trims/entity/humanoid/raiser_redstone	x=578	y=374	w=64	h=32
minecraft:trims/entity/humanoid/raiser_resin	x=578	y=408	w=64	h=32
minecraft:trims/entity/humanoid/rib_amethyst	x=578	y=442	w=64	h=32
minecraft:trims/entity/humanoid/rib_copper	x=578	y=476	w=64	h=32
minecraft:trims/entity/humanoid/rib_copper_darker	x=644	y=0	w=64	h=32
minecraft:trims/entity/humanoid/rib_diamond	x=644	y=34	w=64	h=32
minecraft:trims/entity/humanoid/rib_diamond_darker	x=644	y=68	w=64	h=32
minecraft:trims/entity/humanoid/rib_emerald	x=644	y=102	w=64	h=32
